                  epoch,         train/pos_loss,        train/conf_loss,         train/hit_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,           val/hit_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    181,                 9.2503,                 8.6216,                  2e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                    182,                 9.0468,                 3.7374,                  2e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010405,              0.0010405,              0.0010405
                    183,                 8.7865,                 4.5164,                  2e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000991,               0.000991,               0.000991
                    184,                 8.6101,                 4.7482,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009415,              0.0009415,              0.0009415
                    185,                 8.3898,                 3.3035,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                    186,                 8.1949,                 8.4718,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008425,              0.0008425,              0.0008425
                    187,                 7.9944,                 6.1646,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000793,               0.000793,               0.000793
                    188,                 7.8076,                 2.3526,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007435,              0.0007435,              0.0007435
                    189,                  7.637,                  2.257,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                    190,                 7.4532,                 2.1764,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006445,              0.0006445,              0.0006445
                    191,                 7.3015,                 1.8554,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000595,               0.000595,               0.000595
