                  epoch,         train/pos_loss,         train/mov_loss,        train/conf_loss,         train/hit_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,           val/mov_loss,          val/conf_loss,           val/hit_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                 22.844,                 23.691,                 59.635,                0.06218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                    154,                 22.672,                 23.504,                 82.714,                0.06221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                 22.059,                 23.064,                 68.071,                0.06159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002377,               0.002377,               0.002377
                    156,                 21.598,                 22.872,                 46.333,                0.06048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                 21.416,                 22.174,                 67.991,                 0.0594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                    158,                 20.877,                 21.441,                 29.886,                0.05836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                 20.796,                 21.558,                 52.263,                0.05721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002179,               0.002179,               0.002179
                    160,                 20.517,                 19.936,                 47.901,                0.05618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                 20.165,                 19.742,                 61.222,                0.05508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                    162,                  19.97,                 18.563,                 73.496,                0.05523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                 19.594,                 18.554,                 56.094,                0.05579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001981,               0.001981,               0.001981
                    164,                 19.302,                 18.277,                 59.472,                0.05551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                 18.906,                 17.706,                 31.946,                0.05518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                    166,                 18.721,                 17.678,                 47.938,                0.05457,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                 18.245,                 16.502,                 23.394,                0.05382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001783,               0.001783,               0.001783
